tailnum,year,type,manufacturer,model,engines,seats,speed,engine
N584UW,2014,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-231,2,379,NA,Turbo-fan
N585AA,1991,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-82(MD-82),2,172,NA,Turbo-fan
N585AS,2007,Fixed wing multi engine,BOEING,737-890,2,149,NA,Turbo-fan
N585JB,2004,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N585NW,2002,Fixed wing multi engine,BOEING,757-351,2,275,NA,Turbo-jet
N585SW,1999,Fixed wing multi engine,EMBRAER,EMB-120ER,2,32,NA,Turbo-prop
N585UW,2014,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-231,2,379,NA,Turbo-fan
N586AA,1991,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-82(MD-82),2,172,NA,Turbo-fan
N586AS,2007,Fixed wing multi engine,BOEING,737-890,2,149,NA,Turbo-fan
N586JB,2004,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N586NW,2002,Fixed wing multi engine,BOEING,757-351,2,275,NA,Turbo-jet
N586SW,1999,Fixed wing multi engine,EMBRAER,EMB-120ER,2,32,NA,Turbo-prop
N586UW,2014,Fixed wing multi engine,AIRBUS,A321-231,2,379,NA,Turbo-fan
N587AA,1991,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-82(MD-82),2,172,NA,Turbo-fan
N587AS,2007,Fixed wing multi engine,BOEING,737-890,2,149,NA,Turbo-fan
N587JB,2004,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N587NW,2002,Fixed wing multi engine,BOEING,757-351,2,275,NA,Turbo-jet
N587UA,1993,Fixed wing multi engine,BOEING,757-222,2,178,NA,Turbo-jet
N587UW,2014,Fixed wing multi engine,AIRBUS,A321-231,2,379,NA,Turbo-fan
N588AS,2007,Fixed wing multi engine,BOEING,737-890,2,149,NA,Turbo-fan
N588HA,2002,Fixed wing multi engine,BOEING,767-3CB,2,300,NA,Turbo-jet
N588JB,2004,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N588NW,2003,Fixed wing multi engine,BOEING,757-351,2,275,NA,Turbo-jet
N588UA,1993,Fixed wing multi engine,BOEING,757-222,2,178,NA,Turbo-jet
N589AS,2007,Fixed wing multi engine,BOEING,737-890,2,149,NA,Turbo-fan
N589JB,2004,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N589NW,2003,Fixed wing multi engine,BOEING,757-351,2,275,NA,Turbo-jet
N589UA,1997,Fixed wing multi engine,BOEING,757-222,2,178,NA,Turbo-jet
N59053,2000,Fixed wing multi engine,BOEING,767-424ER,2,292,NA,Turbo-jet
N590AA,1991,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-83(MD-83),2,172,NA,Turbo-fan
N590AS,2008,Fixed wing multi engine,BOEING,737-890,2,149,NA,Turbo-fan
N590HA,2002,Fixed wing multi engine,BOEING,767-3CB,2,300,NA,Turbo-jet
N590JB,2004,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N590NW,2003,Fixed wing multi engine,BOEING,757-351,2,275,NA,Turbo-jet
N590UA,1997,Fixed wing multi engine,BOEING,757-222,2,178,NA,Turbo-jet
N591JB,2004,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N591NW,2003,Fixed wing multi engine,BOEING,757-351,2,275,NA,Turbo-jet
N592AA,1991,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-83(MD-83),2,172,NA,Turbo-fan
N592AS,2008,Fixed wing multi engine,BOEING,737-890,2,149,NA,Turbo-fan
N592HA,2003,Fixed wing multi engine,BOEING,767-3CB,2,300,NA,Turbo-jet
N592JB,2004,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N592NW,2003,Fixed wing multi engine,BOEING,757-351,2,275,NA,Turbo-jet
N593AS,2008,Fixed wing multi engine,BOEING,737-890,2,149,NA,Turbo-fan
N593JB,2004,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N593ML,2001,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2,55,NA,Turbo-fan
N593NW,2003,Fixed wing multi engine,BOEING,757-351,2,275,NA,Turbo-jet
N594AA,1992,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-83(MD-83),2,172,NA,Turbo-fan
N594AS,2008,Fixed wing multi engine,BOEING,737-890,2,149,NA,Turbo-fan
N594HA,1986,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N594JB,2004,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N594NW,2003,Fixed wing multi engine,BOEING,757-351,2,275,NA,Turbo-jet
N594SW,1999,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2,55,NA,Turbo-fan
N595AA,1992,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-83(MD-83),2,172,NA,Turbo-fan
N595JB,2004,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N595NW,2003,Fixed wing multi engine,BOEING,757-351,2,275,NA,Turbo-jet
N595UA,1998,Fixed wing multi engine,BOEING,757-222,2,178,NA,Turbo-jet
N596AA,1992,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-83(MD-83),2,172,NA,Turbo-fan
N596AS,2008,Fixed wing multi engine,BOEING,737-890,2,149,NA,Turbo-fan
N596NW,2003,Fixed wing multi engine,BOEING,757-351,2,275,NA,Turbo-jet
N596UA,1998,Fixed wing multi engine,BOEING,757-222,2,178,NA,Turbo-jet
N597AA,1992,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-83(MD-83),2,172,NA,Turbo-fan
N597AS,2008,Fixed wing multi engine,BOEING,737-890,2,149,NA,Turbo-fan
N597JB,2004,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N597UA,1998,Fixed wing multi engine,BOEING,757-222,2,178,NA,Turbo-jet
N598AA,1992,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-83(MD-83),2,172,NA,Turbo-fan
N598JB,2004,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N598UA,1999,Fixed wing multi engine,BOEING,757-222,2,178,NA,Turbo-jet
N599AA,1992,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-83(MD-83),2,172,NA,Turbo-fan
N599JB,2004,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N600QX,2001,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N600WN,1995,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N601AW,2003,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N601WN,1995,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N602SW,1995,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N603AT,2001,Fixed wing multi engine,BOEING,717-200,2,100,NA,Turbo-fan
N603DL,1984,Fixed wing multi engine,BOEING,757-232,2,178,NA,Turbo-fan
N603JB,2005,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N603QX,2001,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N603SK,2006,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N603SW,1995,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N604AW,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N604QX,2001,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N604SK,2006,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N604SW,1995,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N605JB,2005,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N605QX,2002,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N605SW,1995,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N606JB,2005,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N606LR,2008,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N606SK,2006,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N606SW,1995,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N607AS,1999,Fixed wing multi engine,BOEING,737-790,2,151,NA,Turbo-fan
N607AT,2000,Fixed wing multi engine,BOEING,717-200,2,100,NA,Turbo-fan
N607JB,2005,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N607LR,2008,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N607SK,2006,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N607SW,1995,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N608AT,2000,Fixed wing multi engine,BOEING,717-200,2,100,NA,Turbo-fan
N608JB,2005,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N608QX,2001,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N608SK,2006,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N608SW,1995,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N609AS,1999,Fixed wing multi engine,BOEING,737-790,2,151,NA,Turbo-fan
N609DL,1985,Fixed wing multi engine,BOEING,757-232,2,178,NA,Turbo-fan
N609SK,2002,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N609SW,1995,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N610DL,1985,Fixed wing multi engine,BOEING,757-232,2,178,NA,Turbo-fan
N610WN,1995,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N611AS,1999,Fixed wing multi engine,BOEING,737-790,2,151,NA,Turbo-fan
N611QX,NA,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N611SK,2002,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N611SW,1995,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N612AS,1999,Fixed wing multi engine,BOEING,737-790,2,151,NA,Turbo-fan
N612DL,1985,Fixed wing multi engine,BOEING,757-232,2,178,NA,Turbo-fan
N612JB,2005,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N612QX,2002,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N612SW,1995,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N613AS,1999,Fixed wing multi engine,BOEING,737-790,2,151,NA,Turbo-fan
N613DL,1985,Fixed wing multi engine,BOEING,757-232,2,178,NA,Turbo-fan
N613JB,2005,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N613QX,NA,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N613SK,2002,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N613SW,1995,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N614AS,1999,Fixed wing multi engine,BOEING,737-790,2,151,NA,Turbo-fan
N614DL,1985,Fixed wing multi engine,BOEING,757-232,2,178,NA,Turbo-fan
N614QX,2002,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N614SK,2002,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N614SW,1995,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N615AS,2000,Fixed wing multi engine,BOEING,737-790,2,151,NA,Turbo-fan
N615DL,1986,Fixed wing multi engine,BOEING,757-232,2,178,NA,Turbo-fan
N615JB,2005,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N615QX,2002,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N615SW,1995,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N616DL,1986,Fixed wing multi engine,BOEING,757-232,2,178,NA,Turbo-fan
N616QX,2003,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N616SW,1995,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N617DL,1986,Fixed wing multi engine,BOEING,757-232,2,178,NA,Turbo-fan
N617QX,2003,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N617SW,1995,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N618AS,2000,Fixed wing multi engine,BOEING,737-790,2,151,NA,Turbo-fan
N618DL,1986,Fixed wing multi engine,BOEING,757-232,2,178,NA,Turbo-fan
N618JB,2005,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N618WN,1995,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N619AS,2000,Fixed wing multi engine,BOEING,737-790,2,151,NA,Turbo-fan
N619SW,1995,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N620SW,1996,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N621JB,2005,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N621SW,1996,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N621VA,2006,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N622AS,2000,Fixed wing multi engine,BOEING,737-790,2,151,NA,Turbo-fan
N622SW,1996,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N622VA,2006,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N623AA,1990,Fixed wing multi engine,BOEING,757-223,2,178,NA,Turbo-fan
N623DL,1987,Fixed wing multi engine,BOEING,757-232,2,178,NA,Turbo-fan
N623JB,2005,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N623SW,1996,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N623VA,2006,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N624AG,1993,Fixed wing multi engine,BOEING,757-2Q8,2,178,NA,Turbo-fan
N624AW,1989,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-231,2,182,NA,Turbo-jet
N624JB,2005,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N624SW,1996,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N624VA,2006,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N625AA,1990,Fixed wing multi engine,BOEING,757-223,2,178,NA,Turbo-fan
N625AS,2001,Fixed wing multi engine,BOEING,737-790,2,151,NA,Turbo-fan
N625CA,2003,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N625JB,2005,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N625SW,1996,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N625VA,2006,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N626AS,2001,Fixed wing multi engine,BOEING,737-790,2,151,NA,Turbo-fan
N626SW,1996,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N626VA,2006,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N627AS,2001,Fixed wing multi engine,BOEING,737-790,2,151,NA,Turbo-fan
N627DL,1987,Fixed wing multi engine,BOEING,757-232,2,178,NA,Turbo-fan
N627JB,2005,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N627SW,1996,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N627VA,2006,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N628SW,1996,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N628VA,2007,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N629BR,1998,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2,55,NA,Turbo-fan
N629JB,2005,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N629SW,1996,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N629VA,2007,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N630JB,2005,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N630SK,2011,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N630VA,2007,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N630WN,1996,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N631AA,1990,Fixed wing multi engine,BOEING,757-223,2,178,NA,Turbo-fan
N631SK,2011,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N631SW,1996,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N631VA,2007,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N632JB,2006,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N632SK,2011,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N632SW,1996,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N632VA,2007,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N633DL,1987,Fixed wing multi engine,BOEING,757-232,2,178,NA,Turbo-fan
N633JB,2006,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N633SK,2011,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N633SW,1996,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N633VA,2007,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N634JB,2006,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N634SW,1996,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N634VA,2008,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N635DL,1988,Fixed wing multi engine,BOEING,757-232,2,178,NA,Turbo-fan
N635JB,2006,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N635SW,1996,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N635VA,2008,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N636JB,2006,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N636VA,2008,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N636WN,1996,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N637AW,1990,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-231,2,182,NA,Turbo-jet
N637JB,2006,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N637SW,1996,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N637VA,2008,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N63820,2014,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N638JB,2006,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N638SW,1996,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N638VA,2008,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N639AA,1991,Fixed wing multi engine,BOEING,757-223,2,178,NA,Turbo-fan
N639JB,2006,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N639SW,1996,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N639VA,2007,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N640JB,2006,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N640SW,1996,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N640VA,2007,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N641CA,2003,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N641JB,2006,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N641SW,1996,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N641UA,1991,Fixed wing multi engine,BOEING,767-322,2,330,NA,Turbo-fan
N641VA,2008,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N642UA,1991,Fixed wing multi engine,BOEING,767-322,2,330,NA,Turbo-fan
N642VA,2008,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N642WN,1997,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N643DL,1989,Fixed wing multi engine,BOEING,757-232,2,178,NA,Turbo-fan
N643JB,2006,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N643SW,1997,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N643UA,1991,Fixed wing multi engine,BOEING,767-322,2,330,NA,Turbo-fan
N644AS,2003,Fixed wing multi engine,BOEING,737-790,2,151,NA,Turbo-fan
N644AW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-231,2,182,NA,Turbo-jet
N644DL,1989,Fixed wing multi engine,BOEING,757-232,2,178,NA,Turbo-fan
N644JB,2006,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N644SW,1997,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N644UA,1991,Fixed wing multi engine,BOEING,767-322,2,330,NA,Turbo-fan
N645JB,2006,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N645SW,1997,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N646DL,1989,Fixed wing multi engine,BOEING,757-232,2,178,NA,Turbo-fan
N646JB,2006,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N646SW,1997,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N646UA,1992,Fixed wing multi engine,BOEING,767-322,2,330,NA,Turbo-fan
N647AW,1997,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N647SW,1997,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N647UA,1992,Fixed wing multi engine,BOEING,767-322,2,330,NA,Turbo-fan
N64809,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
N648AW,1997,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N648DL,1989,Fixed wing multi engine,BOEING,757-232,2,178,NA,Turbo-fan
N648JB,2006,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N648SW,1997,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N648UA,1992,Fixed wing multi engine,BOEING,767-322,2,330,NA,Turbo-fan
N649AW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N649DL,1989,Fixed wing multi engine,BOEING,757-232,2,178,NA,Turbo-fan
N649JB,2006,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N649SW,1997,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N649UA,1992,Fixed wing multi engine,BOEING,767-322,2,330,NA,Turbo-fan
N650AW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N650DL,1986,Fixed wing multi engine,BOEING,757-232,2,178,NA,Turbo-fan
N650SW,1997,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N651AW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N651DL,1989,Fixed wing multi engine,BOEING,757-232,2,178,NA,Turbo-fan
N651JB,2007,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N651SW,1997,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N651UA,1992,Fixed wing multi engine,BOEING,767-322,2,330,NA,Turbo-fan
N652AW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N652BR,2000,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2,55,NA,Turbo-fan
N652DL,1989,Fixed wing multi engine,BOEING,757-232,2,178,NA,Turbo-fan
N652JB,2007,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N652SW,1997,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N652UA,1992,Fixed wing multi engine,BOEING,767-322,2,330,NA,Turbo-fan
N653AW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N653JB,2007,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N653SW,1997,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N653UA,1992,Fixed wing multi engine,BOEING,767-322,2,330,NA,Turbo-fan
N654AW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N654DL,1990,Fixed wing multi engine,BOEING,757-232,2,178,NA,Turbo-fan
N654SW,1997,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N654UA,1992,Fixed wing multi engine,BOEING,767-322,2,330,NA,Turbo-fan
N655AW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N655DL,1990,Fixed wing multi engine,BOEING,757-232,2,178,NA,Turbo-fan
N655JB,2007,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N655UA,1992,Fixed wing multi engine,BOEING,767-322,2,330,NA,Turbo-fan
N655WN,1997,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N656AW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N656JB,2007,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N656SW,1997,Fixed wing multi engine,BOEING,737-3H4,2,149,NA,Turbo-fan
N656UA,1993,Fixed wing multi engine,BOEING,767-322,2,330,NA,Turbo-fan
N657AW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N657JB,2007,Fixed wing multi engine,AIRBUS,A320-232,2,200,NA,Turbo-fan
N657SW,1985,Fixed wing multi engine,BOEING,737-3L9,2,149,NA,Turbo-fan
N657UA,1993,Fixed wing multi engine,BOEING,767-322,2,330,NA,Turbo-fan
N65832,2014,Fixed wing multi engine,BOEING,737-924ER,2,191,NA,Turbo-fan
